StateName,StateCod
Andaman and Nicobar Islands,AN
Andhra Pradesh,AP
Andhra Pradesh New, AP
Arunachal Pradesh,AR
Assam,AS
Bihar,BH
Chandigarh,CH
Chattisgarh,CT
Dadra and Nagar Haveli,DN
Daman and Diu,DD
Delhi,DL
Goa,GA
Gujarat,GJ
Haryana,HR
Himachal Pradesh,HP
Jammu and Kashmir,JK
Jharkhand,JH
Karnataka,KA
Kerala,KL
Lakshadweep Islands,LD
Madhya Pradesh,MP
Maharashtra,MH
Manipur,MN
Meghalaya,ME
Mizoram,MI
Nagaland,NL
Odisha,OR
Pondicherry,PY
Punjab,PB
Rajasthan,RJ
Sikkim,SK
Tamil Nadu,TN
Telangana,TS
Tripura,TR
Uttar Pradesh,UP
Uttarakhand,UT
West Bengal,WB
